pi,piName,iec_range,cohort_id,companyId,companyName,avg_monthly_impressions,p99,p100,total_companies_in_cohort
99,Insurance,10001-50000,10001-50000_99,2546,Aditya Birla Sun Life Insurance,5918.5,81714.0,81714.0,21
55,Telecom,1001-5000,1001-5000_55,2548,Sonus Networks,111.0,35822.5,35822.5,34
155,IT Services & Consulting,1001-5000,1001-5000_155,2549,Brillio,9767.5,89243.5,176256.0,347
149,Electronics Manufacturing,11-50,11-50_149,2550,National Instruments,472.0,1558.5,1558.5,17
39,Metals & Mining,10001-50000,10001-50000_39,2551,Vedanta Resources,10764.5,25585.5,25585.5,10
95,Banking,50001-100000,50001-100000_95,2552,Bank of India,3301.0,177931.5,177931.5,6
155,IT Services & Consulting,501-1000,501-1000_155,2553,The Smart Cube,5650.5,20824.0,40421.0,304
44,Power,1001-5000,1001-5000_44,2556,Reliance Infrastructure,752.0,42208.5,42208.5,49
155,IT Services & Consulting,1001-5000,1001-5000_155,2558,Aurionpro Solutions,1557.0,89243.5,176256.0,347
155,IT Services & Consulting,201-500,201-500_155,2559,Indus Valley Partners,11704.0,28670.0,100078.0,607
31,Internet,10001-50000,10001-50000_31,2560,JustDial,18858.5,225628.5,225628.5,17
141,Railways,100001+,100001+_141,2562,Indian Railways,5942.5,5942.5,5942.5,1
167,Industrial Automation,1001-5000,1001-5000_167,2563,Siemens PLM Software,1450.0,11256.5,11256.5,7
155,IT Services & Consulting,201-500,201-500_155,2564,Tangoe,3968.0,28670.0,100078.0,607
83,Analytics & KPO,501-1000,501-1000_83,2566,Infiniti Research,304.0,8555.5,8555.5,40
155,IT Services & Consulting,501-1000,501-1000_155,2568,PubMatic,222.0,20824.0,40421.0,304
24,Gaming,1001-5000,1001-5000_24,2569,Aristocrat,3879.5,5453.0,5453.0,7
95,Banking,50001-100000,50001-100000_95,2570,Union Bank of India,4713.5,177931.5,177931.5,6
145,BPO,5001-10000,5001-10000_145,2573,Foundever,10036.5,56045.0,56045.0,9
55,Telecom,201-500,201-500_55,2574,Aryaka Networks,371.0,24148.0,24148.0,33
44,Power,5001-10000,5001-10000_44,2576,Power Grid Corporation of India,2396.0,71096.5,71096.5,19
91,Engineering & Construction,5001-10000,5001-10000_91,2579,The Jaypee Group,2026.0,100273.0,100273.0,30
131,Pharma,10001-50000,10001-50000_131,2591,Mankind Pharma,31420.0,120510.5,120510.5,19
25,Jewellery,5001-10000,5001-10000_25,2592,Kiran Gems,344.5,1848.0,1848.0,3
32,Iron & Steel,10001-50000,10001-50000_32,2594,Rashmi Group,2490.5,53621.5,53621.5,10
155,IT Services & Consulting,201-500,201-500_155,2595,Colan Infotech,464.0,28670.0,100078.0,607
139,Ports & Shipping,501-1000,501-1000_139,2598,Indian Register of Shipping,462.5,15802.5,15802.5,13
179,Media & Entertainment,201-500,201-500_179,2599,Via.com,174.0,87796.5,87796.5,18
26,Building Material,1001-5000,1001-5000_26,2600,Electrosteel Casting,1582.5,37560.5,37560.5,69
26,Building Material,1001-5000,1001-5000_26,2601,Finolex Cables,3119.0,37560.5,37560.5,69
125,Clinical Research,1001-5000,1001-5000_125,2604,Reliance Life Sciences,1913.5,18631.5,18631.5,10
23,Food Processing,1001-5000,1001-5000_23,2605,Synthite Industries,397.5,19983.5,19983.5,48
5,Architecture & Interior Design,201-500,201-500_5,2606,Architect Hafeez Contractor,1641.0,2132.0,2132.0,15
119,Travel & Tourism,201-500,201-500_119,2607,Tek Travels,294.0,1581.0,1581.0,21
145,BPO,201-500,201-500_145,2611,Athena BPO,8388.5,8388.5,8388.5,45
31,Internet,11-50,11-50_31,2613,Vserv Digital Services,326.0,14934.0,22185.0,138
151,Emerging Technologies,51-200,51-200_151,2622,Brisa Technologies,464.5,10844.0,10844.0,50
155,IT Services & Consulting,51-200,51-200_155,2623,ESN Technologies,129.0,24634.5,159944.5,920
155,IT Services & Consulting,501-1000,501-1000_155,2624,Nelito System,7709.0,20824.0,40421.0,304
